.model,date,.mean,lower,upper
arima110011,2024 Mar,6581568.566,6115068.688,7048068.445
arima110011,2024 Apr,6276119.583,5607836.662,6944402.505
arima110011,2024 May,6414269.12,5592150.867,7236387.373
arima110011,2024 Jun,6787145.109,5835744.868,7738545.35
arima110011,2024 Jul,7328710.472,6263606.433,8393814.51
arima110011,2024 Aug,7375577.039,6207788.184,8543365.895
arima110011,2024 Sep,7017254.048,5755107.064,8279401.033
arima110011,2024 Oct,6992950.056,5643024.425,8342875.686
arima110011,2024 Nov,6394776.7,4962441.751,7827111.649
arima110011,2024 Dec,6736045.834,5225791.683,8246299.985
arima110011,2025 Jan,6238207.116,4653861.264,7822552.967
arima110011,2025 Feb,5951742.995,4296627.544,7606858.447
arima110011,2025 Mar,6735198.67,4990330.373,8480066.968
arima110011,2025 Apr,6429692.547,4598894.289,8260490.805
arima110011,2025 May,6567840.612,4654954.492,8480726.733
arima110011,2025 Jun,6940716.563,4949122.791,8932310.335
arima110011,2025 Jul,7482281.924,5414974.925,9549588.924
arima110011,2025 Aug,7529148.492,5388804.896,9669492.088
arima110011,2025 Sep,7170825.501,4959856.666,9381794.336
arima110011,2025 Oct,7146521.508,4867114.642,9425928.375
arima110011,2025 Nov,6548348.153,4202499.023,8894197.282
arima110011,2025 Dec,6889617.287,4479156.63,9300077.943
arima110011,2026 Jan,6391778.568,3918393.935,8865163.202
arima110011,2026 Feb,6105314.448,3570584.172,8640044.724
arima110011,2026 Mar,6888770.123,4277428.097,9500112.149
arima110011,2026 Apr,6583264,3897050.688,9269477.312
arima110011,2026 May,6721412.065,3962347.318,9480476.812
arima110011,2026 Jun,7094288.015,4264246.287,9924329.744
arima110011,2026 Jul,7635853.377,4736571.719,10535135.04
arima110011,2026 Aug,7682719.945,4715813.799,10649626.09
arima110011,2026 Sep,7324396.954,4291373.705,10357420.2
arima110011,2026 Oct,7300092.961,4202363.475,10397822.45
arima110011,2026 Nov,6701919.606,3540808.106,9863031.105
arima110011,2026 Dec,7043188.739,3819941.343,10266436.14
arima110011,2027 Jan,6545350.021,3261142.548,9829557.494
arima110011,2027 Feb,6258885.901,2914850.526,9602921.276