Industry Name,Number of Firms,Dividends in $ millions,Buybacks in $ millions,Equity Issuance in $ millions,Net Equity Change  in $ millions,Net Equity Change as % of Book Equity,Debt Repaid  in $ millions,Debt Raised in $ millions,Net Debt Change in $ millions,Net Change in Debt as % of Total Debt,Change in Lease Debt  in $ millions,Number of firms_x,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales,Number of firms_y,Acc Rec/ Sales,Inventory/Sales,Acc Pay/ Sales,Non-cash WC/ Sales
Advertising,57,1059.36,1952.838,226.694,-1726.144,-0.149972667,4819.999,4745.615,-74.384,-0.003561975,-121.8,57,0.28,0.01,0.12,0.1,0.09,0.1,0.09,0.1,0.1,0.15,0.28,0.17,0.72,0.02,0.13,0.03,0.03,57,0.491655629,0.038482335,0.485027585,0.012534141
Aerospace/Defense,70,10325.45,15452.949,1830.178,-13622.771,-0.093450474,35097.149,43799.035,8701.886,0.045859882,196.368,70,0.17,0.05,0.1,0.09,0.08,0.09,0.08,0.09,0.08,0.12,0.19,0.16,0.83,0.04,0.06,0.01,0.01,70,0.23705668,0.314989929,0.103272498,0.450427642
Air Transport,25,503.1,483.242,493.816,10.574,0.000362537,18227.483,8391.1,-9836.383,-0.086867966,6091.559,25,0.26,0.03,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.08,0.12,0.08,0.74,0.0,0.04,0.0,0.06,25,0.040626413,0.029955798,0.067488678,0.010944385
Apparel,38,1691.357,1886.779,138.304,-1748.475,-0.071346332,11930.468,11017.544,-912.924,-0.045346181,1648.296,38,0.52,0.03,0.1,0.09,0.08,0.1,0.09,0.1,0.09,0.12,0.55,0.13,0.48,0.0,0.43,0.01,0.05,38,0.121573841,0.202508897,0.084567848,0.246502617
Auto & Truck,34,5839.1,3034.177,5839.531,2805.354,0.015964403,90281.217,110112.329,19831.112,0.069690607,2690.6,34,0.12,0.04,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.15,0.14,0.88,0.05,0.06,0.01,0.0,34,0.051275304,0.121865292,0.159317926,-0.021993841
Auto Parts,39,705.751,531.984,386.247,-145.737,-0.005361852,6014.958,6159.996,145.038,0.006960222,393.398,39,0.15,0.02,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.09,0.17,0.13,0.85,0.04,0.08,0.01,0.01,39,0.171057064,0.122402821,0.139229259,0.154509247
Bank (Money Center),15,34903.054,25724.0,1032.41,-24691.59,-0.025609363,234071.5,556622.0,322550.5,0.122706634,0.0,15,1.0,0.31,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.56,0.02,0.02,15,0.0,0.001424467,,
Banks (Regional),625,18260.63348,6382.25,1198.296,-5183.954,-0.011035831,554628.332,646598.042,91969.71,0.170733544,0.0,625,0.99,0.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.01,0.0,0.5,0.02,0.02,625,0.0,0.00506461,,
Beverage (Alcoholic),19,1374.5,534.822,124.588,-410.234,-0.014184989,3704.538,4698.195,993.657,0.045340578,-76.523,19,0.45,0.09,0.21,0.21,0.18,0.21,0.19,0.21,0.19,0.23,0.47,0.23,0.55,0.0,0.24,0.01,0.01,19,0.10704087,0.21921171,0.179481858,0.171162482
Beverage (Soft),29,15531.3,4051.939,807.34,-3244.599,-0.042380831,9740.571,16864.554,7123.983,0.069506798,1188.394,29,0.55,0.14,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.2,0.55,0.21,0.45,0.0,0.35,0.01,0.01,29,0.112028952,0.076276782,0.267145183,-0.071416169
Broadcasting,22,1166.889,3367.497,6.963,-3360.534,-0.070458817,2469.897,1009.652,-1460.245,-0.024849131,249.5,22,0.39,-0.01,0.13,0.12,0.11,0.12,0.11,0.12,0.11,0.2,0.42,0.2,0.61,0.0,0.22,0.01,0.01,22,0.202514799,0.024025403,0.029534282,0.109229574
Brokerage & Investment Banking,27,12346.393,23703.2,325.216,-23377.984,-0.085819768,142223.066,203738.886,61515.82,0.052869626,274.2,27,0.62,0.12,0.04,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.38,0.01,0.38,0.0,0.37,0.03,0.02,27,1.405918265,0.002825573,,
Building Materials,44,3011.12,6186.842,166.148,-6020.694,-0.123908037,18252.038,15667.293,-2584.745,-0.064353072,322.027,44,0.31,0.08,0.14,0.14,0.11,0.14,0.11,0.14,0.11,0.18,0.34,0.19,0.69,0.01,0.16,0.01,0.01,44,0.135113463,0.121646866,0.086695871,0.183562113
Business & Consumer Services,162,8152.711,12601.259,2303.586,-10297.673,-0.105697997,39545.503,43002.207,3456.704,0.036635681,-1345.704,162,0.34,0.05,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.15,0.34,0.16,0.67,0.01,0.19,0.01,0.01,162,0.180205065,0.016879828,0.067598563,0.134844252
Cable TV,10,5197.0,15275.1,38.0,-15237.1,-0.125148046,36775.3,41643.8,4868.5,0.017619645,215.7,10,0.59,0.11,0.21,0.19,0.15,0.19,0.15,0.19,0.15,0.32,0.58,0.32,0.41,0.0,0.26,0.01,0.01,10,0.083562168,0.002583583,0.078772207,-0.000977412
Chemical (Basic),32,5979.3,2032.36,266.383,-1765.977,-0.034483828,5002.751,6441.554,1438.803,0.031778275,2202.157,32,0.14,0.04,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.19,0.23,0.2,0.86,0.01,0.05,0.0,0.02,32,0.11150639,0.139841239,0.105584332,0.147391721
Chemical (Diversified),4,317.0,885.4,22.0,-863.4,-0.154573839,571.6,893.89,322.29,0.052316493,-351.281,4,0.18,-0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.19,0.34,0.21,0.82,0.02,0.15,0.0,0.01,4,0.124588851,0.176831233,0.128932388,0.176213888
Chemical (Specialty),68,7981.39,9850.44,783.892,-9066.548,-0.056441672,33835.894,34119.554,283.66,0.002362571,1300.642,68,0.33,0.11,0.14,0.13,0.12,0.13,0.12,0.13,0.12,0.21,0.37,0.24,0.67,0.03,0.16,0.01,0.01,68,0.168638709,0.179818286,0.124585457,0.227477659
Coal & Related Energy,18,248.95,606.088,301.384,-304.704,-0.05392304,1810.427,1325.558,-484.869,-0.177153712,193.988,18,0.35,0.16,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.24,0.29,0.25,0.65,0.0,0.05,0.01,0.01,18,0.07008209,0.10208488,0.110575349,0.061300783
Computer Services,72,7387.793,6030.717,385.12,-5645.597,-0.081874168,19586.917,22594.988,3008.071,0.03432034,1946.858,72,0.26,0.04,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.1,0.25,0.12,0.74,0.02,0.16,0.01,0.01,72,0.179239093,0.076690888,0.128251325,0.138531217
Computers/Peripherals,36,18324.54,87427.475,438.446,-86989.029,-1.031604999,39588.794,27648.056,-11940.738,-0.067215069,-7513.74,36,0.38,0.17,0.23,0.21,0.19,0.21,0.19,0.21,0.2,0.25,0.34,0.31,0.62,0.07,0.09,0.02,0.03,36,0.089198824,0.04899177,0.182668485,-0.098693445
Construction Supplies,45,4982.768,4563.489,220.342,-4343.147,-0.056034364,23146.132,25712.587,2566.455,0.029213403,1153.69,11,0.27,0.14,0.2,0.19,0.16,0.19,0.16,0.19,0.16,0.22,0.29,0.22,0.73,0.0,0.07,0.01,0.02,45,0.136098347,0.192861863,0.115030937,0.193780204
Diversified,23,6830.388,15183.18,1084.255,-14098.925,-0.026728454,43736.066,42227.31,-1508.756,-0.007322308,-250.96,23,0.28,0.16,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.01,0.06,0.03,0.72,0.01,0.04,0.0,0.01,23,0.133004143,0.10495149,0.146248647,0.050020771
Drugs (Biotechnology),572,18656.011,9460.017,28941.024,19481.007,0.10052475,16369.053,33021.901,16652.848,0.089187108,-970.321,572,0.56,-0.12,0.08,0.01,0.01,0.01,0.01,0.04,0.04,0.22,0.55,0.66,0.44,0.44,0.33,0.07,0.02,572,0.205401642,0.112877198,0.196665134,0.099810417
Drugs (Pharmaceutical),245,38968.192,17879.776,5522.455,-12357.321,-0.038425706,41752.27,68452.607,26700.337,0.10475758,3634.053,245,0.65,0.15,0.2,0.18,0.18,0.18,0.18,0.21,0.21,0.39,0.62,0.61,0.35,0.22,0.23,0.02,0.01,245,0.188097777,0.132702724,0.079041407,0.223691214
Education,31,97.12,966.015,94.245,-871.77,-0.057241435,2259.685,1537.477,-722.208,-0.147166536,173.761,31,0.44,0.01,0.09,0.06,0.05,0.05,0.05,0.05,0.05,0.1,0.43,0.15,0.56,0.05,0.33,0.04,0.03,31,0.117829469,0.015606746,0.042435397,0.090768336
Electrical Equipment,103,2451.023,5870.99,3115.708,-2755.282,-0.04577154,16256.413,18191.608,1935.195,0.039057531,973.726,103,0.33,0.15,0.11,0.09,0.08,0.09,0.09,0.1,0.09,0.14,0.34,0.18,0.67,0.04,0.2,0.02,0.01,103,0.204882606,0.176976727,0.104511993,0.282731492
Electronics (Consumer & Office),13,0.0,193.63,36.461,-157.169,-0.052920459,397.182,379.297,-17.885,-0.023463092,74.41,13,0.32,-0.03,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.26,0.13,0.68,0.09,0.23,0.03,0.01,13,0.122486593,0.168182221,0.112657396,0.155335427
Electronics (General),129,1831.58,3764.32,1103.577,-2660.743,-0.036458479,18464.186,19394.996,930.81,0.021908233,643.669,129,0.27,0.05,0.11,0.09,0.09,0.1,0.09,0.1,0.09,0.15,0.27,0.2,0.73,0.05,0.13,0.01,0.01,129,0.169237425,0.180674321,0.119003843,0.240139866
Engineering/Construction,43,492.601,1980.478,999.825,-980.653,-0.027661452,36877.771,37854.438,976.667,0.032810484,2554.816,77,0.2,0.06,0.11,0.1,0.09,0.11,0.09,0.11,0.09,0.1,0.18,0.12,0.8,0.02,0.08,0.0,0.01,43,0.273885191,0.018002383,0.0966689,0.189248858
Entertainment,98,1492.31436,5833.545,511.1,-5322.445,-0.026881123,27061.97,18662.649,-8399.321,-0.05579813,21600.871,98,0.38,0.0,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.14,0.34,0.17,0.62,0.03,0.21,0.02,0.04,98,0.102874215,0.02204576,0.082142852,0.038054347
Environmental & Waste Services,57,2133.7,2222.383,649.506,-1572.877,-0.056290187,61460.123,65807.336,4347.213,0.103764302,2131.026,57,0.35,0.08,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.2,0.34,0.21,0.65,0.0,0.14,0.01,0.02,57,0.161023953,0.016083582,0.073244194,0.101805916
Farming/Agriculture,42,3212.82,9424.438,180.218,-9244.22,-0.137188538,48098.441,59882.17,11783.729,0.130650731,1617.869,42,0.16,0.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.16,0.12,0.84,0.01,0.05,0.0,0.01,42,0.079492976,0.13740553,0.064047246,0.147225005
Financial Svcs. (Non-bank & Insurance),172,22615.112,54711.026,2466.999,-52244.027,-0.143656413,1803565.009,1592262.345,-211302.664,-0.026101428,510.252,192,0.66,0.15,0.18,0.16,0.14,0.16,0.14,0.16,0.14,0.21,0.49,0.23,0.34,0.02,0.28,0.02,0.01,172,14.57816999,0.004322387,1.767873353,13.07969871
Food Processing,82,11853.45,5461.523,565.967,-4895.556,-0.028664917,34111.417,37464.558,3353.141,0.025713982,3372.819,93,0.24,0.05,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.14,0.27,0.15,0.76,0.01,0.13,0.0,0.02,82,0.077003046,0.127384174,0.120375099,0.060076717
Food Wholesalers,14,1054.3,748.82,153.655,-595.165,-0.045485776,8945.27,7521.89,-1423.38,-0.057238841,1101.869,14,0.15,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.15,0.03,0.85,0.0,0.12,0.0,0.0,14,0.054217058,0.064888277,0.062572395,0.057756763
Furn/Home Furnishings,31,1579.4912,219.766,97.051,-122.715,-0.005919142,29119.931,31070.062,1950.131,0.107148613,653.397,31,0.26,-0.02,0.07,0.06,0.05,0.06,0.05,0.06,0.05,0.1,0.29,0.12,0.74,0.02,0.19,0.01,0.02,31,0.124239631,0.165634831,0.125007842,0.139737695
Green & Renewable Energy,17,284.2,5.267,426.258,420.991,0.040474455,5357.01,6326.374,969.364,0.030163187,88.875,17,0.62,0.15,0.24,0.23,0.22,0.22,0.21,0.22,0.21,0.54,0.65,0.54,0.38,0.0,0.11,0.01,0.01,17,0.316671599,0.03581045,0.144705971,-0.279816255
Healthcare Products,230,7563.341,7194.111,3073.848,-4120.263,-0.018897749,16405.396,26151.89,9746.494,0.077599953,1492.998,230,0.56,0.08,0.16,0.13,0.13,0.13,0.13,0.14,0.13,0.21,0.53,0.29,0.44,0.09,0.32,0.02,0.01,230,0.165414212,0.188815593,0.07689535,0.25574202
Healthcare Support Services,119,14897.92,32806.433,3481.955,-29324.478,-0.091089048,131486.475,153721.768,22235.293,0.081293711,914.394,119,0.14,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.14,0.05,0.86,0.0,0.1,0.0,0.0,119,0.06737781,0.037801482,0.14768844,-0.065254137
Heathcare Information and Technology,128,1752.494,9780.639,1170.511,-8610.128,-0.050182785,15632.945,23915.714,8282.769,0.074220345,2205.914,128,0.48,0.06,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.24,0.49,0.3,0.52,0.07,0.25,0.03,0.01,128,0.190597877,0.103361523,0.069953912,0.229458753
Homebuilding,32,1349.61,4501.742,465.759,-4035.983,-0.044022757,24487.542,20767.149,-3720.393,-0.108644026,-97.796,32,0.25,0.12,0.17,0.16,0.13,0.16,0.14,0.16,0.14,0.18,0.27,0.18,0.75,0.0,0.09,0.0,0.0,32,0.016073563,0.598983836,0.044362006,0.585108097
Hospitals/Healthcare Facilities,32,908.4,5346.702,1241.949,-4104.753,-0.357874074,11171.747,12028.564,856.817,0.009749983,268.272,32,0.36,0.05,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.15,0.18,0.15,0.64,0.0,0.03,0.01,0.02,32,0.145620671,0.022199305,0.06561466,0.111734133
Hotel/Gaming,68,1647.753,28508.052,478.616,-28029.436,-0.514441261,43891.562,44724.87,833.308,0.003655623,9172.253,68,0.6,0.1,0.19,0.17,0.16,0.13,0.12,0.14,0.12,0.18,0.47,0.2,0.4,0.03,0.29,0.02,0.03,68,0.108457883,0.029407194,0.07833582,0.029915133
